peptide,label,hla_allele,protein,strain
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
,,HLA-A*02:01,E7,HPV16
