feature,rf_importance,xgb_importance
bind_A0201,0.08283795796208729,0.078270905
bind_A0301,0.0598893316615347,0.043809988
bind_A2402,0.05844618059073722,0.07620838
bind_A1101,0.05615211112083528,0.034583766
bind_B0702,0.051949359224518946,0.047915377
bind_B2705,0.04711689457438552,0.063666165
bind_B3501,0.04391136437859419,0.03099059
bind_A0101,0.04234019934770471,0.038200054
bind_B4402,0.041774612009470864,0.023046024
p8_vdw_volume,0.041373870899585226,0.050476488
bind_B0801,0.04027623345469296,0.048442453
p8_hydrophobicity,0.036554839449883,0.05310098
p7_vdw_volume,0.03604651952930436,0.037928883
p6_vdw_volume,0.03596847865568578,0.051767133
p7_hydrophobicity,0.03565667883876824,0.03365274
p6_hydrophobicity,0.03205593185018346,0.034546778
p5_hydrophobicity,0.03140744343668829,0.025092062
p4_vdw_volume,0.03108863292487722,0.07032646
p5_vdw_volume,0.030480632075038545,0.019653462
p4_hydrophobicity,0.03038379636429427,0.045936797
p4_charge,0.011229286953522787,0.0
p7_charge,0.011053489140134438,0.0
p6_charge,0.00917955392413388,0.0
p5_charge,0.008599934381138919,0.0
p8_aromaticity,0.008348500881891723,0.0
p8_charge,0.007878462155430557,0.0
hla_p31_hydrophobicity,0.007573832034273461,0.0
hla_p28_vdw_volume,0.0070536121123950645,0.0
p4_aromaticity,0.006560958344465677,0.0
hla_p3_hydrophobicity,0.006555656088619627,0.092384554
p5_aromaticity,0.006266657188789532,0.0
hla_p31_vdw_volume,0.005966646963703359,0.0
hla_p25_hydrophobicity,0.005554566567178378,0.0
p6_aromaticity,0.00554031352094898,0.0
p7_aromaticity,0.0055213865190634984,0.0
hla_p25_vdw_volume,0.004714360061351793,0.0
hla_p3_vdw_volume,0.0044053121656031195,0.0
hla_p14_hydrophobicity,0.004188382940938987,0.0
hla_p28_hydrophobicity,0.004077777919709254,0.0
hla_p14_vdw_volume,0.00402024178783688,0.0
hla_p2_aromaticity,0.0,0.0
hla_p2_hydrophobicity,0.0,0.0
hla_p1_charge,0.0,0.0
hla_p1_vdw_volume,0.0,0.0
hla_p1_aromaticity,0.0,0.0
hla_p1_hydrophobicity,0.0,0.0
hla_p2_charge,0.0,0.0
hla_p2_vdw_volume,0.0,0.0
hla_p5_hydrophobicity,0.0,0.0
hla_p5_aromaticity,0.0,0.0
hla_p4_hydrophobicity,0.0,0.0
hla_p4_aromaticity,0.0,0.0
hla_p3_aromaticity,0.0,0.0
hla_p3_charge,0.0,0.0
hla_p7_hydrophobicity,0.0,0.0
hla_p7_aromaticity,0.0,0.0
hla_p7_vdw_volume,0.0,0.0
