metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.6952748736447271,0.014563482216040452,0.6683573235549587,0.01022794434232016
auc_pr,0.8208800243894405,0.0065469333538877615,0.8004601640514206,0.01176553609783014
issr_10,0.8901098901098902,0.012037858406706946,0.8637362637362637,0.02745054065230064
issr_25,0.8587719298245613,0.012832227051164772,0.8421052631578947,0.01441375151329385
precision_10,0.8901098901098902,0.012037858406706946,0.8637362637362637,0.02745054065230064
recall_10,0.1290631761801725,0.0017472480889771313,0.12523948841414478,0.0039921515793437485
ndcg_10,0.9002323956665697,0.01454260916078038,0.8664060029393497,0.03922506244577559
precision_25,0.8587719298245613,0.012832227051164772,0.8421052631578947,0.01441375151329385
recall_25,0.3119840713538333,0.004781069199650319,0.3059295604384441,0.005358260104094018
ndcg_25,0.8704921457709176,0.00848515377865734,0.8477829327374036,0.022297065365985868
