metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.6940754428375188,0.02001909501450793,0.6754519120392402,0.017445035674349258
auc_pr,0.8123022037477027,0.01106193863291418,0.8057322632061596,0.012967195481655222
issr_10,0.8549450549450549,0.03289369131229839,0.8593406593406593,0.027274008013166706
issr_25,0.8350877192982455,0.021593918640510808,0.8377192982456141,0.02166506848285695
precision_10,0.8549450549450549,0.03289369131229839,0.8593406593406593,0.027274008013166706
recall_10,0.12396661892136247,0.004826829097239638,0.12460000609514524,0.00390228784007452
ndcg_10,0.8682238197660286,0.028034066635368213,0.8668962427854758,0.04044078019777884
precision_25,0.8350877192982455,0.021593918640510808,0.8377192982456141,0.02166506848285695
recall_25,0.3033822976665752,0.008006791261662587,0.30433567996424177,0.007928491323277298
ndcg_25,0.8459722375180352,0.01660703091686213,0.845515197547711,0.02108083754389045
