metric,ann_cv_mean,ann_cv_std
auc_roc,0.6083022577801885,0.05778736636102448
auc_pr,0.7819717520244163,0.02394583599303792
issr_10,0.8571428571428571,0.04517539514526258
issr_25,0.8057142857142857,0.05540205551332947
precision_10,0.8571428571428571,0.04517539514526258
recall_10,0.12244897959183673,0.0064536278778946545
ndcg_10,0.8749093786025173,0.01949730457373391
precision_25,0.8057142857142857,0.05540205551332947
recall_25,0.28775510204081634,0.019786448397617666
ndcg_25,0.8290995281299793,0.03468366742289181
