metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.9429079641357365,0.0036137148316817526,0.9096476017628692,0.006567422403226879
auc_pr,0.8311838772327459,0.008396770988418813,0.7671884390653934,0.011989747284110824
issr_10,0.9291139240506329,0.0036242190511181875,0.8593530239099859,0.015069586763408008
issr_25,0.6951041080472706,0.01235686100050723,0.6719189645469893,0.013548049058686932
precision_10,0.9291139240506329,0.0036242190511181875,0.8593530239099859,0.015069586763408008
recall_10,0.41179411284871936,0.001621636534361768,0.3808763138881767,0.006740815125200332
ndcg_10,0.9372741175468539,0.0029281900101781103,0.8719863381544541,0.011263221864116475
precision_25,0.6951041080472706,0.01235686100050723,0.6719189645469893,0.013548049058686932
recall_25,0.7699763053425626,0.013543102495197648,0.744293938052066,0.014891529753307495
ndcg_25,0.7941365260199957,0.011959117335860336,0.7653655292785387,0.01339920436434557
