metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std,rf_cv_mean_no_vaccinia,rf_cv_std_no_vaccinia,xgb_cv_mean_no_vaccinia,xgb_cv_std_no_vaccinia
auc_roc,0.8137012070622596,0.0050334446335804795,0.8092973914541612,0.004693824723248201,0.6701605058091452,0.0020615817074501504,0.6140781736112917,0.005266319240166457
auc_pr,0.6058273241425536,0.004510472032074269,0.5596977646083295,0.011405724869389303,0.7328251489357661,0.0061029466321570365,0.6898374000741414,0.008253166308643523
issr_10,0.7116736990154712,0.008983808395314352,0.6576652601969057,0.03423937902605446,0.8490342085738849,0.02258622148224275,0.7951123486066373,0.016184151199871495
issr_25,0.5518794393807134,0.006542998224870887,0.5235208288890731,0.005059566231668075,0.7718369000322893,0.008567865404621624,0.7275749736763674,0.023763305123603952
precision_10,0.7116736990154712,0.008983808395314352,0.6576652601969057,0.03423937902605446,0.8490342085738849,0.02258622148224275,0.7951123486066373,0.016184151199871495
recall_10,0.3154192830003335,0.0037317952520696997,0.2914689604280694,0.014871026244970904,0.1493574190665374,0.004084130233117749,0.1398811620996198,0.0034229252568908964
ndcg_10,0.7390799180462216,0.01003217311500367,0.679399853369875,0.0322723080614759,0.8650666661504692,0.021851465624688513,0.8106739046417296,0.016514188560203997
precision_25,0.5518794393807134,0.006542998224870887,0.5235208288890731,0.005059566231668075,0.7718369000322893,0.008567865404621624,0.7275749736763674,0.023763305123603952
recall_25,0.6113902595168446,0.006766507607421551,0.5799844676750897,0.006161254872953169,0.3394834716062658,0.003644128223881923,0.32002239991054626,0.010634998149361618
ndcg_25,0.6374001972294326,0.006219363812171958,0.6001587834309439,0.004338875433456664,0.7912858789544109,0.009145538733684616,0.7462032302985341,0.02433552134846963
