fold,subgroup_key,subgroup_value,n_samples,n_positive,n_negative,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,method
1,overall,all,8,8,0,,,,,,,,,,,RandomForest
1,virus,EBV,8,8,0,,,,,,,,,,,RandomForest
1,strain,missing,8,8,0,,,,,,,,,,,RandomForest
1,protein,BARF1_EBVG,8,8,0,,,,,,,,,,,RandomForest
2,overall,all,1,1,0,,,,,,,,,,,RandomForest
2,virus,EBV,1,1,0,,,,,,,,,,,RandomForest
2,strain,missing,1,1,0,,,,,,,,,,,RandomForest
2,protein,BDLF2_EBVG,1,1,0,,,,,,,,,,,RandomForest
3,overall,all,1,1,0,,,,,,,,,,,RandomForest
3,virus,EBV,1,1,0,,,,,,,,,,,RandomForest
3,strain,missing,1,1,0,,,,,,,,,,,RandomForest
3,protein,BLRF2_EBVG,1,1,0,,,,,,,,,,,RandomForest
4,overall,all,1,1,0,,,,,,,,,,,RandomForest
4,virus,EBV,1,1,0,,,,,,,,,,,RandomForest
4,strain,missing,1,1,0,,,,,,,,,,,RandomForest
4,protein,BMRF2_EBVG,1,1,0,,,,,,,,,,,RandomForest
5,overall,all,1,1,0,,,,,,,,,,,RandomForest
5,virus,EBV,1,1,0,,,,,,,,,,,RandomForest
5,strain,missing,1,1,0,,,,,,,,,,,RandomForest
5,protein,BNL2A_EBVG,1,1,0,,,,,,,,,,,RandomForest
6,overall,all,1,1,0,,,,,,,,,,,RandomForest
6,virus,EBV,1,1,0,,,,,,,,,,,RandomForest
6,strain,missing,1,1,0,,,,,,,,,,,RandomForest
6,protein,BNL2B_EBVG,1,1,0,,,,,,,,,,,RandomForest
7,overall,all,21,14,7,0.6020408163265306,0.8149043625547384,1.0,0.8,1.0,0.14285714285714285,1.0,0.8,0.2857142857142857,0.8687949224876581,RandomForest
7,virus,EBV,21,14,7,0.6020408163265306,0.8149043625547384,1.0,0.8,1.0,0.14285714285714285,1.0,0.8,0.2857142857142857,0.8687949224876581,RandomForest
7,strain,missing,21,14,7,0.6020408163265306,0.8149043625547384,1.0,0.8,1.0,0.14285714285714285,1.0,0.8,0.2857142857142857,0.8687949224876581,RandomForest
7,protein,BRLF1_EBVB9,21,14,7,0.6020408163265306,0.8149043625547384,1.0,0.8,1.0,0.14285714285714285,1.0,0.8,0.2857142857142857,0.8687949224876581,RandomForest
