feature,rf_importance,xgb_importance
bind_B4402,0.09309827740491584,0.054162495
bind_A0201,0.08702329789749326,0.0566714
bind_A1101,0.07546393446617448,0.04857259
bind_A0301,0.06663624566610868,0.027275044
bind_A2402,0.0665439797215828,0.039481692
bind_B0702,0.05444085525164987,0.03335753
bind_B0801,0.04905881400439063,0.025430588
bind_A0101,0.04783448266247505,0.028116167
bind_B3501,0.04749669865816683,0.030700307
bind_B2705,0.04739526000047789,0.029242236
p8_vdw_volume,0.03409024148823855,0.030994123
p7_vdw_volume,0.030479262861480807,0.03051284
p5_vdw_volume,0.030244167146582415,0.028061958
p4_vdw_volume,0.03023433653280891,0.027874405
p6_vdw_volume,0.028433329350553614,0.032283515
p4_hydrophobicity,0.028390051108470718,0.027718732
p6_hydrophobicity,0.027865148691973082,0.026020423
p5_hydrophobicity,0.027733283969303017,0.030474117
p7_hydrophobicity,0.027375137425064158,0.023764292
p8_hydrophobicity,0.025621534610731342,0.025024408
peptide_length,0.025187569283747876,0.09871867
p7_charge,0.006582496102391682,0.041476425
p5_charge,0.006534944879123258,0.017076606
p8_charge,0.005982650790966513,0.034828935
p4_charge,0.005869499769906628,0.029227208
p6_charge,0.005039710601710001,0.01700579
p6_aromaticity,0.004193181040303153,0.022776399
p5_aromaticity,0.004106477833221264,0.02618372
p8_aromaticity,0.004033480959446288,0.026392436
p7_aromaticity,0.0036829769565943126,0.016560782
p4_aromaticity,0.003328672863947093,0.014014086
