scope,n,n_positive,positive_rate,ece_raw,ece_cal,delta,brier_raw,brier_cal
pooled_all,35555,8021,0.22559414990859233,0.05995202710828119,0.004648287021479089,-0.0553037400868021,0.13308961380861722,0.12931246761575782
target_viruses,13316,8003,0.6010063082006608,0.2272420368058852,0.23458036171418298,0.0073383249082977775,0.2714602229363532,0.2827438944636275
off_panel,22239,18,0.0008093889113719142,0.19063926072931772,0.13976638198009628,-0.050872878749221445,0.05023773057893367,0.03744264973247923
CMV,1312,740,0.5640243902439024,0.18403431108922835,0.19360863501304465,0.009574323923816297,0.23780754235018764,0.24344841157642688
DENV,1818,806,0.44334433443344334,0.11743578521877066,0.12968691763630527,0.012251132417534616,0.20054917006365722,0.19592915478097123
EBV,659,287,0.4355083459787557,0.09231778946374176,0.11640284678558774,0.024085057321845973,0.22048363749018066,0.22372179655655106
HBV,554,325,0.5866425992779783,0.1752540350630768,0.1729202665676243,-0.0023337684954524984,0.25832702406092184,0.2672015503783293
HCV,653,333,0.5099540581929556,0.1551635359285768,0.20236708356756983,0.04720354763899304,0.2706594619139091,0.2927556761601479
HIV-1,3269,2516,0.7696543285408382,0.3591577528510717,0.36339587495938885,0.004238122108317144,0.31328147696478026,0.3326928969245741
HPV,318,181,0.5691823899371069,0.23417057567717656,0.28059557877089497,0.046425003093718414,0.32283255954483064,0.34955501089690777
IAV,906,342,0.37748344370860926,0.07296492618265779,0.09699932484303926,0.02403439866038147,0.2075020466246302,0.21223813837936842
SARS-CoV-2,3827,2473,0.6461980663705252,0.2798647373852802,0.283757590325321,0.0038928529400407696,0.30264833249038514,0.3166352424983776
