test_virus,auc_pr,auc_roc,issr_10,issr_25,n_train_viral,n_train_decoy,n_train_pos,n_train_neg,n_test_total,n_test_pos,n_test_neg,pos_rate_test
DENV,0.9557,0.4603,0.9425,0.9587,8763,5000,5796,7967,874,841,33,0.962
HIV-1,0.8338,0.4896,0.8478,0.8534,9173,5000,6258,7915,464,379,85,0.817
EBV,0.7782,0.4697,0.7755,0.7154,9193,5000,6287,7906,494,390,104,0.789
IAV,0.7197,0.5111,0.7308,0.7077,9117,5000,6271,7846,520,366,154,0.704
SARS-CoV-2,0.7082,0.5141,0.7111,0.6953,5580,5000,3802,6778,4057,2835,1222,0.699
HPV16,0.6606,0.3345,0.7,0.5577,9441,5000,6495,7946,208,152,56,0.731
HBV,0.6428,0.5145,0.7231,0.6111,8987,5000,6244,7743,650,393,257,0.605
CMV,0.6088,0.4834,0.708,0.6279,8260,5000,5831,7429,1377,806,571,0.585
HCV,0.561,0.4964,0.5211,0.5363,8918,5000,6223,7695,719,414,305,0.576
HPV18,0.5038,0.3932,0.3333,0.4444,9601,5000,6618,7983,36,19,17,0.528
HPV,0.4085,0.5858,0.5714,0.4167,9493,5000,6596,7897,144,41,103,0.285
RSV,0.1415,0.1397,0.0833,0.0333,9514,5000,6619,7895,123,18,105,0.146
