metric,value,kind
decoy_rows_active,3112.0,count
decoy_rows_in_matrix,218.0,count
decoy_distinct_peptides_in_matrix,168.0,count
decoy_max_presentation_median_rows,0.761,median
decoy_max_presentation_median_distinct,0.74,median
decoy_max_presentation_min,0.503,range
decoy_max_presentation_max,0.982,range
positive_max_presentation_median_active,0.712,median
positive_rows_active_in_matrix,6431.0,count
positive_max_presentation_median_all_rows,0.705,median
positive_rows_all_in_matrix,7037.0,count
positive_rows_quarantined_in_matrix,606.0,count
decoy_rows_absent_from_matrix,2894.0,count
decoy_absent_from_matrix_pct,93.0,percent
zero_vector_active_positives,1624.0,count
zero_vector_active_positives_distinct_viruses,1.0,count
tested_negative_rows_active,22467.0,count
tested_negative_rows_absent_from_matrix,0.0,count
iedb_api_rows_active,1963.0,count
iedb_api_rows_absent_from_matrix,0.0,count
